code,year,jiscode,region,city_category,pop,finance_index,expenditure,expenditure_social_welfare,lfp_male,lfp_female,olfp_male,oldp_female,lfp_rate_female,expenditure_social_welfare_rate
2015100000 ,2015 ,7484 ,福島県 鮫川村,3 ,3577 ,0 ,39 ,8 ,1194 ,784 ,383 ,778 ,0.50192 ,0.21039 
2015100000 ,2015 ,7501 ,福島県 石川町,3 ,15880 ,0 ,82 ,19 ,4743 ,3547 ,2081 ,3634 ,0.49394 ,0.23623 
2015100000 ,2015 ,7502 ,福島県 玉川村,3 ,6777 ,0 ,51 ,12 ,2169 ,1713 ,658 ,1178 ,0.59253 ,0.23002 
2015100000 ,2015 ,7503 ,福島県 平田村,3 ,6505 ,0 ,60 ,9 ,2103 ,1528 ,672 ,1375 ,0.52635 ,0.14167 
2015100000 ,2015 ,7504 ,福島県 浅川町,3 ,6577 ,0 ,33 ,9 ,2024 ,1469 ,800 ,1398 ,0.51238 ,0.25915 
2015100000 ,2015 ,7505 ,福島県 古殿町,3 ,5373 ,0 ,44 ,8 ,1692 ,1200 ,616 ,1235 ,0.49281 ,0.18223 
2015100000 ,2015 ,7521 ,福島県 三春町,3 ,18304 ,0 ,110 ,55 ,5447 ,4093 ,2392 ,4050 ,0.50264 ,0.49366 
2015100000 ,2015 ,7522 ,福島県 小野町,3 ,10475 ,0 ,56 ,15 ,3227 ,2459 ,1232 ,2246 ,0.52264 ,0.26335 
2015100000 ,2015 ,7541 ,福島県 広野町,3 ,4319 ,1 ,167 ,100 ,2140 ,599 ,478 ,843 ,0.41540 ,0.59474 
2015100000 ,2015 ,7542 ,福島県 楢葉町,3 ,975 ,1 ,169 ,13 ,735 ,34 ,61 ,89 ,0.27642 ,0.07638 
2015100000 ,2015 ,7543 ,福島県 富岡町,3 ,0 ,1 ,140 ,20 ,0 ,0 ,0 ,0 ,NA,0.14387 
2015100000 ,2015 ,7544 ,福島県 川内村,3 ,2021 ,0 ,90 ,30 ,906 ,296 ,274 ,466 ,0.38845 ,0.33296 
2015100000 ,2015 ,7545 ,福島県 大熊町,3 ,0 ,2 ,139 ,13 ,0 ,0 ,0 ,0 ,NA,0.09110 
2015100000 ,2015 ,7546 ,福島県 双葉町,3 ,0 ,1 ,78 ,14 ,0 ,0 ,0 ,0 ,NA,0.17784 
2015100000 ,2015 ,7547 ,福島県 浪江町,3 ,0 ,0 ,134 ,28 ,0 ,0 ,0 ,0 ,NA,0.20612 
2015100000 ,2015 ,7548 ,福島県 葛尾村,3 ,18 ,0 ,60 ,17 ,8 ,2 ,4 ,4 ,0.33333 ,0.28356 
2015100000 ,2015 ,7561 ,福島県 新地町,3 ,8218 ,1 ,138 ,10 ,2498 ,1747 ,994 ,1814 ,0.49059 ,0.07520 
2015100000 ,2015 ,7564 ,福島県 飯舘村,3 ,41 ,0 ,84 ,10 ,0 ,0 ,7 ,34 ,0.00000 ,0.11589 
2015100000 ,2015 ,8201 ,茨城県 水戸市,2 ,270783 ,1 ,991 ,391 ,75978 ,57205 ,30021 ,57693 ,0.49788 ,0.39433 
2015100000 ,2015 ,8202 ,茨城県 日立市,2 ,185054 ,1 ,703 ,223 ,50154 ,31545 ,25441 ,45069 ,0.41174 ,0.31706 
2015100000 ,2015 ,8203 ,茨城県 土浦市,2 ,140804 ,1 ,614 ,184 ,41401 ,30078 ,16901 ,30196 ,0.49902 ,0.29927 
2015100000 ,2015 ,8204 ,茨城県 古河市,2 ,140946 ,1 ,494 ,192 ,43046 ,30992 ,16153 ,29398 ,0.51320 ,0.38855 
2015100000 ,2015 ,8205 ,茨城県 石岡市,2 ,76020 ,1 ,315 ,105 ,21938 ,16547 ,9589 ,16550 ,0.49995 ,0.33259 
2015100000 ,2015 ,8207 ,茨城県 結城市,2 ,51594 ,1 ,176 ,66 ,15630 ,11351 ,5994 ,10821 ,0.51195 ,0.37571 
2015100000 ,2015 ,8208 ,茨城県 龍ケ崎市,2 ,78342 ,1 ,248 ,89 ,21941 ,16032 ,10008 ,16673 ,0.49020 ,0.35829 
2015100000 ,2015 ,8210 ,茨城県 下妻市,2 ,43293 ,1 ,175 ,52 ,13576 ,9780 ,4656 ,8824 ,0.52569 ,0.29708 
2015100000 ,2015 ,8211 ,茨城県 常総市,2 ,61483 ,1 ,311 ,106 ,17979 ,13223 ,7135 ,12497 ,0.51411 ,0.33944 
